identifier,recipe_en,recipe_zh,production_en,production_zh,use_en,use_zh,hazard_en,hazard_zh
OMNI_PT_PD,PD below 500 K absorbs up to four local H2; PD at or above 500 K releases stored H2 into empty neighbors; hot PD + O2 -> recoverable BRMT + FIRE.,低于 500 K 的钯最多吸收四个局部氢气；达到或超过 500 K 的钯向空邻格释放所储氢气；高温钯 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(PD) below 1828 K.,把熔融钯冷却到 1828 K 以下。,Reversible local hydrogen storage conductive platinum-group material and phase-change experiments.,可逆局部储氢、导电铂族材料和相变实验。,Released hydrogen oxygen heat acid molten palladium and vapour require ignition and pressure control.,释放的氢气、氧气、高温、酸液、熔融钯和蒸气需要点火与压力控制。
OMNI_PT_AG,Warm AG + S -> dark recoverable BRMT(AG) + dark DUST; hot AG + O2 -> recoverable BRMT + FIRE; molten AG vaporises above 2435 K.,温热银 + 硫 -> 暗色银碎料 + 暗色尘埃；高温银 + 氧气 -> 可回收碎料 + 火焰；熔融银在 2435 K 以上汽化。,Cool LAVA(AG) below 1234.93 K.,把熔融银冷却到 1234.93 K 以下。,High-conductivity sulfur tarnish corrosion oxidation and phase-change experiments.,高导电、硫化变暗、腐蚀、氧化和相变实验。,Sulfur acid hot oxygen fire molten silver and vapour require sealed temperature-controlled handling.,硫、酸液、高温氧气、火焰、熔融银和蒸气需要密闭控温处理。
OMNI_PT_CD,Warm CD + ACID -> SALT + H2; hot CD + O2 -> recoverable BRMT + FIRE; CD absorbs neutrons and melts at 594.22 K.,温热镉 + 酸液 -> 盐 + 氢气；高温镉 + 氧气 -> 可回收碎料 + 火焰；镉会吸收中子并在 594.22 K 熔化。,Cool LAVA(CD) below 594.22 K.,把熔融镉冷却到 594.22 K 以下。,Toxic low-melting conductor neutron absorption corrosion oxidation and shielding experiments.,有毒低熔点导体、中子吸收、腐蚀、氧化和屏蔽实验。,Deadly contact neutrons acid hydrogen hot oxygen molten cadmium and vapour require sealed containment.,致命接触、中子、酸液、氢气、高温氧气、熔融镉和蒸气需要密闭围护。
OMNI_PT_LA,LA below 700 K + H2 -> LA{tmp<=4}; LA{tmp>0} above 900 K + empty neighbor -> LA + H2; warm LA + ACID -> SALT + H2.,低于 700 K 的镧 + 氢气 -> 最多储存四份氢气的镧；储氢镧高于 900 K + 空邻格 -> 镧 + 氢气；温热镧 + 酸液 -> 盐 + 氢气。,Cool LAVA(LA) below 1193 K.,把熔融镧冷却到 1193 K 以下。,Reversible local hydrogen storage reactive lanthanide corrosion oxidation and phase-change experiments.,可逆局部储氢、活泼镧系金属、腐蚀、氧化和相变实验。,Released hydrogen acid hot oxygen fire molten lanthanum and vapour require ignition control.,释放的氢气、酸液、高温氧气、火焰、熔融镧和蒸气需要点火控制。
OMNI_PT_CE,CE from 400 to 750 K + O2 -> CE{tmp<=4}; CE{tmp>0} above 1050 K + empty neighbor -> CE + O2; hot CE + O2 -> recoverable BRMT + FIRE.,400 至 750 K 的铈 + 氧气 -> 最多储存四份氧气的铈；储氧铈高于 1050 K + 空邻格 -> 铈 + 氧气；高温铈 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(CE) below 1068 K.,把熔融铈冷却到 1068 K 以下。,Catalytic oxygen buffering reactive oxidation corrosion and phase-change experiments.,催化储氧、活泼氧化、腐蚀和相变实验。,Released oxygen acid fire molten cerium and vapour require oxidizer and temperature control.,释放的氧气、酸液、火焰、熔融铈和蒸气需要氧化剂与温度控制。
OMNI_PT_PR,PR + local electrical discharge -> PR{life=55/tmp2+=1}; warm PR + ACID -> SALT + H2; hot PR + O2 -> recoverable BRMT + FIRE.,镨 + 局部电气放电 -> 持续 55 刻且激励计数加一的镨；温热镨 + 酸液 -> 盐 + 氢气；高温镨 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(PR) below 1208 K.,把熔融镨冷却到 1208 K 以下。,Moderate magnetic-material excitation conductive corrosion oxidation and phase-change experiments.,中等磁性材料激励、导电、腐蚀、氧化和相变实验。,Electrical heat acid hydrogen fire molten praseodymium and vapour require containment.,电气热、酸液、氢气、火焰、熔融镨和蒸气需要围护。
OMNI_PT_ND,ND + local electrical discharge -> ND{life=70/tmp2+=1}; warm ND + ACID -> SALT + H2; hot ND + O2 -> recoverable BRMT + FIRE.,钕 + 局部电气放电 -> 持续 70 刻且激励计数加一的钕；温热钕 + 酸液 -> 盐 + 氢气；高温钕 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(ND) below 1297 K.,把熔融钕冷却到 1297 K 以下。,Strong magnetic-material excitation conductive corrosion oxidation and phase-change experiments.,强磁性材料激励、导电、腐蚀、氧化和相变实验。,Electrical heat acid hydrogen fire molten neodymium and vapour require containment.,电气热、酸液、氢气、火焰、熔融钕和蒸气需要围护。
OMNI_PT_PM,PM or LAVA(PM) -> SM or LAVA(SM) + one PHOT after 180 to 360 ticks; warm PM + ACID -> SALT + H2.,钷或熔融钷在 180 至 360 个刻后 -> 钐或熔融钐 + 一个光子；温热钷 + 酸液 -> 盐 + 氢气。,,,radioactive lanthanide decay heat corrosion oxidation and shielding experiments.,放射性镧系衰变热、腐蚀、氧化和屏蔽实验。,Radioactivity decay heat photons acid hydrogen fire molten promethium and vapour require shielding.,放射性、衰变热、光子、酸液、氢气、火焰、熔融钷和蒸气需要屏蔽。
OMNI_PT_SM,SM + local NEUT -> SM{tmp+=1/temp+=90K}; SM + local discharge -> magnetic glow; hot SM + O2 -> recoverable BRMT + FIRE.,钐 + 局部中子 -> 俘获计数加一且升温 90 K 的钐；钐 + 局部放电 -> 磁性辉光；高温钐 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(SM) below 1345 K or obtain it from promethium decay.,把熔融钐冷却到 1345 K 以下，或通过钷衰变获得。,Neutron absorption magnetic excitation corrosion oxidation and phase-change experiments.,中子吸收、磁性激励、腐蚀、氧化和相变实验。,Neutron capture heat electrical excitation acid fire molten samarium and vapour require shielding.,中子俘获热、电气激励、酸液、火焰、熔融钐和蒸气需要屏蔽。
OMNI_PT_EU,EU + nearby PHOT -> retained EU{life=60} + red-orange band PHOT; warm EU + ACID -> SALT + H2; hot EU + O2 -> recoverable BRMT + FIRE.,铕 + 邻近光子 -> 保留并辉光 60 刻的铕 + 红橙波段光子；温热铕 + 酸液 -> 盐 + 氢气；高温铕 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(EU) below 1099 K.,把熔融铕冷却到 1099 K 以下。,Red-orange fluorescence optical conversion corrosion oxidation and phase-change experiments.,红橙色荧光、光学转换、腐蚀、氧化和相变实验。,Photons acid hydrogen fire molten europium and vapour require optical containment.,光子、酸液、氢气、火焰、熔融铕和蒸气需要光学围护。
OMNI_PT_GD,GD + local NEUT -> GD{tmp+=1/temp+=180K}; GD + local discharge -> magnetic glow; hot GD + O2 -> recoverable BRMT + FIRE.,钆 + 局部中子 -> 俘获计数加一且升温 180 K 的钆；钆 + 局部放电 -> 磁性辉光；高温钆 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(GD) below 1585 K.,把熔融钆冷却到 1585 K 以下。,Strong neutron absorption magnetic excitation corrosion oxidation and phase-change experiments.,强中子吸收、磁性激励、腐蚀、氧化和相变实验。,Strong capture heat electrical excitation acid fire molten gadolinium and vapour require shielding.,强俘获热、电气激励、酸液、火焰、熔融钆和蒸气需要屏蔽。
OMNI_PT_TB,TB + nearby PHOT -> retained TB{life=60} + green-band PHOT; warm TB + ACID -> SALT + H2; hot TB + O2 -> recoverable BRMT + FIRE.,铽 + 邻近光子 -> 保留并辉光 60 刻的铽 + 绿色波段光子；温热铽 + 酸液 -> 盐 + 氢气；高温铽 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(TB) below 1629 K.,把熔融铽冷却到 1629 K 以下。,Green fluorescence optical conversion corrosion oxidation and phase-change experiments.,绿色荧光、光学转换、腐蚀、氧化和相变实验。,Photons acid hydrogen fire molten terbium and vapour require optical containment.,光子、酸液、氢气、火焰、熔融铽和蒸气需要光学围护。
OMNI_PT_DY,DY + local electrical discharge -> DY{life=80/tmp2+=1}; warm DY + ACID -> SALT + H2; hot DY + O2 -> recoverable BRMT + FIRE.,镝 + 局部电气放电 -> 持续 80 刻且激励计数加一的镝；温热镝 + 酸液 -> 盐 + 氢气；高温镝 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(DY) below 1680 K.,把熔融镝冷却到 1680 K 以下。,Strongest shared magnetic-material excitation corrosion oxidation and phase-change experiments.,共享模型中最强磁性材料激励、腐蚀、氧化和相变实验。,Electrical heat acid hydrogen fire molten dysprosium and vapour require containment.,电气热、酸液、氢气、火焰、熔融镝和蒸气需要围护。
OMNI_PT_HO,HO + local electrical discharge -> HO{life=75/tmp2+=1}; warm HO + ACID -> SALT + H2; hot HO + O2 -> recoverable BRMT + FIRE.,钬 + 局部电气放电 -> 持续 75 刻且激励计数加一的钬；温热钬 + 酸液 -> 盐 + 氢气；高温钬 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(HO) below 1734 K.,把熔融钬冷却到 1734 K 以下。,Violet magnetic-material excitation corrosion oxidation and high-temperature phase-change experiments.,紫色磁性材料激励、腐蚀、氧化和高温相变实验。,Electrical heat acid hydrogen fire molten holmium and vapour require containment.,电气热、酸液、氢气、火焰、熔融钬和蒸气需要围护。
OMNI_PT_ER,ER + nearby PHOT + cooldown ready -> retained ER{life=45} + one green-band PHOT; hot ER + O2 -> recoverable BRMT + FIRE.,铒 + 邻近光子 + 冷却完成 -> 保留并辉光 45 刻的铒 + 一个绿色波段光子；高温铒 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(ER) below 1802 K.,把熔融铒冷却到 1802 K 以下。,green-band photon amplification optical corrosion oxidation and phase-change experiments.,绿色波段光子放大、光学、腐蚀、氧化和相变实验。,Emitted photons acid fire molten erbium and vapour require optical and thermal containment.,发射光子、酸液、火焰、熔融铒和蒸气需要光学与热围护。
OMNI_PT_TM,TM + nearby PHOT + cooldown ready -> retained TM{life=45} + one blue-band PHOT; hot TM + O2 -> recoverable BRMT + FIRE.,铥 + 邻近光子 + 冷却完成 -> 保留并辉光 45 刻的铥 + 一个蓝色波段光子；高温铥 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(TM) below 1818 K.,把熔融铥冷却到 1818 K 以下。,blue-band photon amplification optical corrosion oxidation and phase-change experiments.,蓝色波段光子放大、光学、腐蚀、氧化和相变实验。,Emitted photons acid fire molten thulium and vapour require optical and thermal containment.,发射光子、酸液、火焰、熔融铥和蒸气需要光学与热围护。
OMNI_PT_YB,Warm YB + water-like particle -> SALT + H2; warm YB + ACID -> SALT + H2; hot YB + O2 -> recoverable BRMT + FIRE.,温热镱 + 类水粒子 -> 盐 + 氢气；温热镱 + 酸液 -> 盐 + 氢气；高温镱 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(YB) below 1097 K.,把熔融镱冷却到 1097 K 以下。,Warm-water reaction low-melting corrosion oxidation and phase-change experiments.,温水反应、低熔点、腐蚀、氧化和相变实验。,Water hydrogen acid fire molten ytterbium and vapour require ignition control.,水、氢气、酸液、火焰、熔融镱和蒸气需要点火控制。
OMNI_PT_LU,LU + local NEUT -> LU{tmp+=1/temp+=60K}; warm LU + ACID -> SALT + H2; hot LU + O2 -> recoverable BRMT + FIRE.,镥 + 局部中子 -> 俘获计数加一且升温 60 K 的镥；温热镥 + 酸液 -> 盐 + 氢气；高温镥 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(LU) below 1925 K.,把熔融镥冷却到 1925 K 以下。,Dense neutron absorption refractory corrosion oxidation and phase-change experiments.,高密度中子吸收、耐火、腐蚀、氧化和相变实验。,Neutrons acid hydrogen fire molten lutetium and vapour require shielded refractory containment.,中子、酸液、氢气、火焰、熔融镥和蒸气需要屏蔽耐火围护。
OMNI_PT_HF,HF + local NEUT -> HF{tmp+=1/temp+=90K}; hot HF + ACID -> SALT + H2; hot HF + O2 -> recoverable BRMT + FIRE.,铪 + 局部中子 -> 俘获计数加一且升温 90 K 的铪；高温铪 + 酸液 -> 盐 + 氢气；高温铪 + 氧气 -> 可回收碎料 + 火焰。,Cool LAVA(HF) below 2506 K.,把熔融铪冷却到 2506 K 以下。,Refractory neutron absorption shielding corrosion oxidation and phase-change experiments.,耐火中子吸收、屏蔽、腐蚀、氧化和相变实验。,Neutrons acid hydrogen hot oxygen molten hafnium fire and vapour require shielded refractory containment.,中子、酸液、氢气、高温氧气、熔融铪、火焰和蒸气需要屏蔽耐火围护。
OMNI_PT_TA,Hot TA + O2 -> retained TA{life=120} + glassy passivation material; passive TA temporarily resists acid and further oxidation; molten TA vaporises above 5731 K.,高温钽 + 氧气 -> 保留钽并形成持续 120 刻的玻璃态钝化；钝化钽暂时抵抗酸液和继续氧化；熔融钽在 5731 K 以上汽化。,Cool LAVA(TA) below 3290 K.,把熔融钽冷却到 3290 K 以下。,Temporary passivation refractory conduction corrosion resistance and phase-change experiments.,临时钝化、耐火导电、耐腐蚀和相变实验。,Hot oxygen glass residue extreme molten heat acid and vapour require refractory containment.,高温氧气、玻璃残留、极端熔融高温、酸液和蒸气需要耐火围护。
OMNI_PT_RE,Hot RE + hot NICL or LAVA(NICL) -> two LAVA(TSTL) superalloy products; hot RE + ACID -> SALT + H2; molten RE vaporises above 5903 K.,高温铼 + 高温镍或熔融镍 -> 两份熔融工具钢高温合金；高温铼 + 酸液 -> 盐 + 氢气；熔融铼在 5903 K 以上汽化。,Cool LAVA(RE) below 3459 K.,把熔融铼冷却到 3459 K 以下。,Very-high-temperature nickel alloy refractory corrosion oxidation and phase-change experiments.,极高温镍合金、耐火、腐蚀、氧化和相变实验。,Molten nickel alloy heat acid hydrogen oxygen fire and metal vapour require refractory containment.,熔融镍合金高温、酸液、氢气、氧气、火焰和金属蒸气需要耐火围护。
OMNI_PT_OS,Warm OS + O2 -> SMKE(OS) + CAUS toxic-oxide; hot OS + ACID -> SALT + H2; molten OS vaporises above 5285 K.,温热锇 + 氧气 -> 锇烟雾 + 苛性有毒氧化物；高温锇 + 酸液 -> 盐 + 氢气；熔融锇在 5285 K 以上汽化。,Cool LAVA(OS) below 3306 K.,把熔融锇冷却到 3306 K 以下。,Extreme-density metal toxic oxidation corrosion and phase-change experiments.,极高密度金属、有毒氧化、腐蚀和相变实验。,Warm oxygen caustic residue toxic vapour acid hydrogen molten osmium and vapour require sealed handling.,温热氧气、苛性残留、有毒蒸气、酸液、氢气、熔融锇和金属蒸气需要密闭处理。
OMNI_PT_IR,Warm IR + two local PERO + empty neighbor -> retained IR + two WATR + O2; hot IR + ACID -> SALT + H2; molten IR vaporises above 4701 K.,温热铱 + 两份局部过氧化氢 + 空邻格 -> 保留铱 + 两份水 + 氧气；高温铱 + 酸液 -> 盐 + 氢气；熔融铱在 4701 K 以上汽化。,Cool LAVA(IR) below 2719 K.,把熔融铱冷却到 2719 K 以下。,Platinum-group peroxide catalysis corrosion resistance conduction and phase-change experiments.,铂族过氧化氢催化、耐腐蚀、导电和相变实验。,Peroxide oxygen reaction heat acid hydrogen molten iridium and vapour require oxidizer control.,过氧化氢、氧气、反应热、酸液、氢气、熔融铱和蒸气需要氧化剂控制。
OMNI_PT_AC,AC or LAVA(AC) reaches zero life -> FR + one PHOT; AC + local NEUT -> TH; hot AC + O2 -> recoverable BRMT + FIRE.,锕或熔融锕寿命归零 -> 钫 + 一个光子；锕 + 局部中子 -> 钍；高温锕 + 氧气 -> 可回收碎料 + 火焰。,,,decay-chain neutron irradiation corrosion oxidation and molten-phase experiments.,衰变链、中子照射、腐蚀、氧化和熔融相实验。,Radioactivity decay heat photons acid hydrogen hot oxygen and radioactive waste require shielding.,放射性、衰变热、光子、酸液、氢气、高温氧气和废料需要屏蔽。
OMNI_PT_TH,TH or LAVA(TH) reaches zero life -> RA + one PHOT; TH + local NEUT -> PA; hot TH + O2 -> recoverable BRMT + FIRE.,钍或熔融钍寿命归零 -> 镭 + 一个光子；钍 + 局部中子 -> 镤；高温钍 + 氧气 -> 可回收碎料 + 火焰。,Obtain thorium from actinium neutron capture.,通过锕俘获中子得到钍。,Fertile breeding refractory metal decay heat corrosion oxidation and shielding experiments.,增殖型燃料、耐火金属、衰变热、腐蚀、氧化和屏蔽实验。,Radioactivity neutron capture heat radium descendants acid fire and molten thorium require shielding.,放射性、中子俘获热、镭后代、酸液、火焰和熔融钍需要屏蔽。
OMNI_PT_PA,PA or LAVA(PA) reaches zero life -> URAN + one PHOT; PA + local NEUT -> URAN.,镤或熔融镤寿命归零 -> 铀 + 一个光子；镤 + 局部中子 -> 铀。,Obtain it from thorium capture or cool LAVA(PA) below 1841 K.,通过钍俘获得到，或把熔融镤冷却到 1841 K 以下。,Thorium breeding intermediate decay heat neutron capture and refractory phase experiments.,钍增殖中间体、衰变热、中子俘获和耐火相变实验。,Radioactivity uranium products capture heat acids oxidizers and hot vapour require shielding.,放射性、铀产物、俘获热、酸液、氧化剂和高温蒸气需要屏蔽。
OMNI_PT_NP,NP or LAVA(NP) reaches zero life -> PA + one PHOT; NP + local NEUT -> PLUT.,镎或熔融镎寿命归零 -> 镤 + 一个光子；镎 + 局部中子 -> 钚。,,,Transuranic breeding decay heat low melting metal and neutron conversion experiments.,超铀增殖、衰变热、低熔点金属和中子转化实验。,Radioactivity plutonium products neutron heat acid oxidation and vapour require strong shielding.,放射性、钚产物、中子热、酸液、氧化和蒸气需要强屏蔽。
OMNI_PT_AM,AM or LAVA(AM) reaches zero life -> NP + one PHOT; AM + local NEUT -> CM; hot AM + O2 -> recoverable BRMT + FIRE.,镅或熔融镅寿命归零 -> 镎 + 一个光子；镅 + 局部中子 -> 锔；高温镅 + 氧气 -> 可回收碎料 + 火焰。,,,Radioactive source neutron transmutation corrosion oxidation and decay-chain experiments.,放射源、中子嬗变、腐蚀、氧化和衰变链实验。,Strong radioactivity decay heat curium products acids oxidizers and vapour require shielding.,强放射性、衰变热、锔产物、酸液、氧化剂和蒸气需要屏蔽。
OMNI_PT_CM,CM or LAVA(CM) reaches zero life -> PLUT + one PHOT; CM + local NEUT -> BK.,锔或熔融锔寿命归零 -> 钚 + 一个光子；锔 + 局部中子 -> 锫。,Obtain it from americium capture or cool LAVA(CM) below 1613 K.,通过镅俘获得到，或把熔融锔冷却到 1613 K 以下。,Higher decay heat transmutation plutonium production and radioactive phase experiments.,较高衰变热、嬗变、钚产物和放射性相变实验。,Shorter life stronger heat plutonium descendants neutrons acid and oxidation require shielding.,较短寿命、较强热量、钚后代、中子、酸液和氧化需要屏蔽。
OMNI_PT_BK,BK or LAVA(BK) reaches zero life -> AM + one PHOT; BK + local NEUT -> CF; hot BK + O2 -> recoverable BRMT + FIRE.,锫或熔融锫寿命归零 -> 镅 + 一个光子；锫 + 局部中子 -> 锎；高温锫 + 氧气 -> 可回收碎料 + 火焰。,Obtain it from curium neutron capture.,通过锔俘获中子得到。,Synthetic-element irradiation decay-chain and neutron-source preparation experiments.,人工元素照射、衰变链和中子源制备实验。,High activity californium products neutron exposure acids and hot oxidation require shielding.,高活度、锎产物、中子暴露、酸液和高温氧化需要屏蔽。
OMNI_PT_CF,Cool CF + local NEUT -> ES; CF at or above 900 K + local NEUT -> CM + one replacement NEUT; zero-life CF -> CM + one NEUT.,冷锎 + 局部中子 -> 锿；900 K 及以上锎 + 局部中子 -> 锔 + 一个替代性中子；寿命归零锎 -> 锔 + 一个中子。,Obtain it from berkelium neutron capture.,通过锫俘获中子得到。,neutron source irradiation fission heat synthesis and shielding experiments.,中子源、照射、裂变热、合成和屏蔽实验。,Very high activity short neutrons fission heat pressure acids oxygen and vapour require heavy shielding.,极高活度、短寿命中子、裂变热、压力、酸液、氧气和蒸气需要重屏蔽。
OMNI_PT_ES,ES or LAVA(ES) reaches zero life -> BK + one PHOT; ES + local NEUT -> FM; molten ES vaporises above 1269 K.,锿或熔融锿寿命归零 -> 锫 + 一个光子；锿 + 局部中子 -> 镄；熔融锿在 1269 K 以上汽化。,Obtain it from cold californium neutron capture.,通过低温锎俘获中子得到。,Short-lived synthetic-element decay transmutation and low boiling phase experiments.,短寿命人工元素衰变、嬗变和低沸点相变实验。,High activity fermium products neutron heat acids oxidation and vapour require shielding.,高活度、镄产物、中子热、酸液、氧化和蒸气需要屏蔽。
OMNI_PT_FM,FM or LAVA(FM) reaches zero life -> CF + one PHOT; FM + local NEUT -> MD; hot FM + O2 -> recoverable BRMT + FIRE.,镄或熔融镄寿命归零 -> 锎 + 一个光子；镄 + 局部中子 -> 钔；高温镄 + 氧气 -> 可回收碎料 + 火焰。,Obtain it from einsteinium neutron capture.,通过锿俘获中子得到。,High-activity decay-chain synthesis neutron irradiation and phase experiments.,高活度衰变链合成、中子照射和相变实验。,Californium descendants neutron emission heat acids oxygen and vapour require heavy shielding.,锎后代、中子发射、热量、酸液、氧气和蒸气需要重屏蔽。
OMNI_PT_MD,MD or LAVA(MD) reaches zero life -> ES + one PHOT; MD + local NEUT -> NO; molten MD vaporises above 1400 K.,钔或熔融钔寿命归零 -> 锿 + 一个光子；钔 + 局部中子 -> 锘；熔融钔在 1400 K 以上汽化。,Obtain it from fermium neutron capture.,通过镄俘获中子得到。,Very short synthetic decay neutron transmutation and radioactive heat experiments.,极短寿命人工衰变、中子嬗变和放射性热实验。,Strong decay heat nobelium products neutrons acids oxygen and vapour require shielding.,强衰变热、锘产物、中子、酸液、氧气和蒸气需要屏蔽。
OMNI_PT_NO,NO or LAVA(NO) reaches zero life -> FM + one PHOT; NO + local NEUT -> LR; molten NO vaporises above 1500 K.,锘或熔融锘寿命归零 -> 镄 + 一个光子；锘 + 局部中子 -> 铹；熔融锘在 1500 K 以上汽化。,Obtain it from mendelevium neutron capture.,通过钔俘获中子得到。,Late-actinide synthesis strong decay heat and low melting phase experiments.,晚期锕系合成、强衰变热和低熔点相变实验。,Very short life lawrencium products neutron heat acids oxidation and vapour require shielding.,极短寿命、铹产物、中子热、酸液、氧化和蒸气需要屏蔽。
OMNI_PT_LR,LR or LAVA(LR) reaches zero life -> MD + one PHOT; LR + NEUT at or above 900 K -> RF.,铹或熔融铹寿命归零 -> 钔 + 一个光子；铹 + 900 K 及以上中子 -> 𬬻。,Obtain it from nobelium neutron capture or irradiate it above 900 K to make rutherfordium.,通过锘俘获中子得到，或在 900 K 以上照射以制得𬬻。,Late-actinide decay heat high-energy rutherfordium synthesis refractory phase and shielding experiments.,晚期锕系衰变热、高能𬬻合成、耐火相变和屏蔽实验。,Shortest actinide timer strong heat photons energetic neutrons acids oxidation and vapour require shielding.,锕系最短计时、强热量、光子、高能中子、酸液、氧化和蒸气需要屏蔽。
OMNI_PT_RF,LR + NEUT >=900 K -> RF; RF life=0 -> HF + PHOT; RF + NEUT >=900 K -> DB.,铹 + 900 K 及以上中子 -> 𬬻；𬬻寿命归零 -> 铪 + 光子；𬬻 + 900 K 及以上中子 -> 𬭊。,Synthesize it from energetic lawrencium neutron capture.,由铹俘获高能中子合成。,Group-4 comparison high-energy synthesis decay heat corrosion oxidation and molten-phase experiments.,第四族对比、高能合成、衰变热、腐蚀、氧化和熔融相实验。,Radioactivity decay heat photons energetic neutrons acid hydrogen hot oxygen and radioactive waste require shielding.,放射性、衰变热、光子、高能中子、酸液、氢气、高温氧气和废料需要屏蔽。
OMNI_PT_DB,RF + NEUT >=1000 K -> DB; DB life=0 -> TA + NEUT; DB + NEUT >=1000 K -> SG.,𬬻 + 1000 K 及以上中子 -> 𬭊；𬭊寿命归零 -> 钽 + 中子；𬭊 + 1000 K 及以上中子 -> 𬭳。,Synthesize it from energetic rutherfordium neutron capture.,由𬬻俘获高能中子合成。,Group-5 comparison synthesis neutron emission refractory phase and shielding experiments.,第五族对比、合成、中子发射、耐火相变和屏蔽实验。,Radioactivity decay heat neutrons acids oxidation and vapour require shielding.,放射性、衰变热、中子、酸液、氧化和蒸气需要屏蔽。
OMNI_PT_SG,DB + NEUT >=1100 K -> SG; SG life=0 -> TUNG + PHOT; SG + NEUT >=1100 K -> BH.,𬭊 + 1100 K 及以上中子 -> 𬭳；𬭳寿命归零 -> 钨 + 光子；𬭳 + 1100 K 及以上中子 -> 𬭛。,Synthesize it from energetic dubnium neutron capture.,由𬭊俘获高能中子合成。,Group-6 refractory comparison high-energy synthesis and decay containment experiments.,第六族耐火对比、高能合成和衰变封存实验。,Radioactivity photons strong heat acids hot oxygen and vapour require shielding.,放射性、光子、强热量、酸液、高温氧气和蒸气需要屏蔽。
OMNI_PT_BH,SG + NEUT >=1200 K -> BH; BH life=0 -> RE + PHOT; BH + NEUT >=1200 K -> HS.,𬭳 + 1200 K 及以上中子 -> 𬭛；𬭛寿命归零 -> 铼 + 光子；𬭛 + 1200 K 及以上中子 -> 𬭶。,Synthesize it from energetic seaborgium neutron capture.,由𬭳俘获高能中子合成。,Group-7 dense metal synthesis corrosion oxidation and decay experiments.,第七族高密度金属合成、腐蚀、氧化和衰变实验。,Radioactivity photons acids hydrogen hot oxygen fire and vapour require shielding.,放射性、光子、酸液、氢气、高温氧气、火焰和蒸气需要屏蔽。
OMNI_PT_HS,BH + NEUT >=1300 K -> HS; HS life=0 -> OS + NEUT; HS + NEUT >=1300 K -> MT.,𬭛 + 1300 K 及以上中子 -> 𬭶；𬭶寿命归零 -> 锇 + 中子；𬭶 + 1300 K 及以上中子 -> 鿏。,Synthesize it from energetic bohrium neutron capture.,由𬭛俘获高能中子合成。,Hard refractory group-8 comparison neutron emission oxidation resistance and shielding experiments.,高硬度耐火第八族对比、中子发射、抗氧化和屏蔽实验。,Radioactivity decay heat neutrons acids high heat and vapour require shielding.,放射性、衰变热、中子、酸液、高热量和蒸气需要屏蔽。
OMNI_PT_MT,HS + NEUT >=1400 K -> MT; MT life=0 -> IR + PHOT; MT + NEUT >=1400 K -> DS.,𬭶 + 1400 K 及以上中子 -> 鿏；鿏寿命归零 -> 铱 + 光子；鿏 + 1400 K 及以上中子 -> 𫟼。,Synthesize it from energetic hassium neutron capture.,由𬭶俘获高能中子合成。,Group-9 high-energy synthesis decay heat iridium comparison and shielding experiments.,第九族高能合成、衰变热、铱对比和屏蔽实验。,Radioactivity photons strong heat acids oxidation and vapour require shielding.,放射性、光子、强热量、酸液、氧化和蒸气需要屏蔽。
OMNI_PT_DS,MT + NEUT >=1500 K -> DS; DS life=0 -> PTNM + PHOT; DS + NEUT >=1500 K -> RG.,鿏 + 1500 K 及以上中子 -> 𫟼；𫟼寿命归零 -> 铂 + 光子；𫟼 + 1500 K 及以上中子 -> 𬬭。,Synthesize it from energetic meitnerium neutron capture.,由鿏俘获高能中子合成。,Group-10 conductivity platinum comparison synthesis and radioactive containment experiments.,第十族导电、铂对比、合成和放射性封存实验。,Radioactivity decay heat photons acids hot oxygen fire and vapour require shielding.,放射性、衰变热、光子、酸液、高温氧气、火焰和蒸气需要屏蔽。
OMNI_PT_RG,DS + NEUT >=1600 K -> RG; RG life=0 -> GOLD + NEUT; RG + NEUT >=1600 K -> CN.,𫟼 + 1600 K 及以上中子 -> 𬬭；𬬭寿命归零 -> 金 + 中子；𬬭 + 1600 K 及以上中子 -> 鿔。,Synthesize it from energetic darmstadtium neutron capture.,由𫟼俘获高能中子合成。,Group-11 conductivity gold comparison neutron emission and final-chain synthesis experiments.,第十一族导电、金对比、中子发射和末段合成实验。,Radioactivity decay heat neutrons acids oxidation and vapour require shielding.,放射性、衰变热、中子、酸液、氧化和蒸气需要屏蔽。
